year,name,college,pos,height,weight,hand_size,arm_length,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,60yd_shuttle,simple_pos,tag,drafted,player_id,draft_round,draft_pick,team,year_max,age,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,tackles_solo,rec_td,def_int,sacks,college_id,college_link,college_games,college_pass_yds,college_pass_td,college_pass_int,college_pass_cmp_pct,college_rush_yds,college_rush_td,college_rec_yds,college_rec_td,college_tackles,college_sacks,college_ints,college_fumbles,name_for_merge,Link,Name,POS,College,Year,RAS,Alltime RAS,Round,Draft Team
2021,Asante Samuel,Florida State,CB,,,,,,,,,,,,,DB,"Asante Samuel, Florida State",True,SamuAs00,2,47.0,chargers,2024.0,21.0,0.0,0.0,3.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,6.0,,Florida State,http://www.sports-reference.com/cfb/players/asante-samuel-jr-1.html,32.0,,,,,,,,,96.0,0.0,4.0,1.0,asantesamuel,,,,,,,,,
2021,Mekhi Sargent,Iowa,RB,,,,,,,,,,,,,RB,"Mekhi Sargent, Iowa",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mekhisargent,,,,,,,,,
2021,Ry Schneider,Oklahoma State,C,,,,,,,,,,,,,OL,"Ry Schneider, Oklahoma State",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ryschneider,,,,,,,,,
2021,Jordon Scott,Oregon,DT,,,,,,,,,,,,,DL,"Jordon Scott, Oregon",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jordonscott,,,,,,,,,
2021,Joe Sculthorpe,North Carolina State,OG,,,,,,,,,,,,,OL,"Joe Sculthorpe, North Carolina State",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joesculthorpe,,,,,,,,,
2021,Trey Sermon,Ohio State,RB,,,,,,,,,,,,,RB,"Trey Sermon, Ohio State",True,SermTr00,3,88.0,49ers,2024.0,22.0,0.0,0.0,0.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,134.0,505.0,3.0,22.0,138.0,0.0,1.0,,,Ohio State,http://www.sports-reference.com/cfb/players/trey-sermon-1.html,45.0,,,,,2946.0,26.0,486.0,3.0,,,,,treysermon,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19522"">Link</a>",Trey Sermon,RB,Ohio State,2021.0,9.67,9.74,3.0,49ers
2021,Penei Sewell,Oregon,OT,,,,,,,,,,,,,OL,"Penei Sewell, Oregon",True,SewePe00,1,7.0,lions,2024.0,20.0,2.0,3.0,4.0,52.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,,,,Oregon,http://www.sports-reference.com/cfb/players/penei-sewell-1.html,,,,,,,,,,,,,,peneisewell,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=14087"">Link</a>",Penei Sewell,OT,Oregon,2021.0,8.99,8.95,1.0,lions
2021,Tyler Shelvin,Louisiana State,DT,,,,,,,,,,,,,DL,"Tyler Shelvin, Louisiana State",True,ShelTy00,4,122.0,bengals,2022.0,23.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,LSU,http://www.sports-reference.com/cfb/players/tyler-shelvin-1.html,21.0,,,,,,,,,48.0,1.5,0.0,0.0,tylershelvin,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19002"">Link</a>",Tyler Shelvin,DT,Louisiana State,2021.0,0.86,1.15,4.0,bengals
2021,Jamien Sherwood,Auburn,SS,,,,,,,,,,,,,DB,"Jamien Sherwood, Auburn",True,SherJa00,5,146.0,jets,2024.0,21.0,0.0,0.0,1.0,11.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,,2.5,Auburn,http://www.sports-reference.com/cfb/players/jamien-sherwood-1.html,37.0,,,,,,,,,141.0,2.5,1.0,0.0,jamiensherwood,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19057"">Link</a>",Jamien Sherwood,FS,Auburn,2021.0,4.25,4.78,5.0,jets
2021,Antjuan Simmons,Michigan State,ILB,,,,,,,,,,,,,LB,"Antjuan Simmons, Michigan State",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antjuansimmons,,,,,,,,,
